title,genres,keywords,overview,movie_id,cast,crew,revenue,vote_average,vote_count,popularity
superman returns,"adventure,fantasy,action",saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,"superman return to discover his 5-year absence ha allowed lex luthor to walk free , and that those he wa closest too felt abandoned and have moved on . luthor plot his ultimate revenge that could see million killed and change the face of the planet forever , a well a ridding himself of the man of steel .",1452,"['Brandon_Routh', 'Kevin_Spacey', 'Kate_Bosworth', 'James_Marsden', 'Parker_Posey']",['Bryan_Singer'],low revenue,5.4,low voted,low popularity
quantum of solace,"adventure,action,thriller",killing undercover secret agent british secret service,"quantum of solace continues the adventure of james bond after casino royale . betrayed by vesper , the woman he loved , 007 fight the urge to make his latest mission personal . pursuing his determination to uncover the truth , bond and m interrogate mr. white , who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined .",10764,"['Daniel_Craig', 'Olga_Kurylenko', 'Mathieu_Amalric', 'Judi_Dench', 'Giancarlo_Giannini']",['Marc_Forster'],low revenue,6.1,low voted,low popularity
pirates of the caribbean: dead man's chest,"adventure,fantasy,action",witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,"captain jack sparrow work his way out of a blood debt with the ghostly davey jones , he also attempt to avoid eternal damnation .",58,"['Johnny_Depp', 'Orlando_Bloom', 'Keira_Knightley', 'Stellan_Skarsgård', 'Bill_Nighy']",['Gore_Verbinski'],average revenue,7.0,average voted,low popularity
the lone ranger,"action,adventure,western",texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,"the texas ranger chase down a gang of outlaw led by butch cavendish , but the gang ambush the ranger , seemingly killing them all . one survivor is found , however , by an american indian named tonto , who nurse him back to health . the ranger , donning a mask and riding a white stallion named silver , team up with tonto to bring the unscrupulous gang and others of that ilk to justice .",57201,"['Johnny_Depp', 'Armie_Hammer', 'William_Fichtner', 'Helena_Bonham_Carter', 'James_Badge_Dale']",['Gore_Verbinski'],low revenue,5.9,low voted,low popularity
man of steel,"action,adventure,fantasy",saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,"a young boy learns that he ha extraordinary power and is not of this earth . a a young man , he journey to discover where he came from and what he wa sent here to do . but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind .",49521,"['Henry_Cavill', 'Amy_Adams', 'Michael_Shannon', 'Kevin_Costner', 'Diane_Lane']",['Zack_Snyder'],low revenue,6.5,average voted,low popularity
the chronicles of narnia: prince caspian,"adventure,family,fantasy",based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,"one year after their incredible adventure in the lion , the witch and the wardrobe , peter , edmund , lucy and susan pevensie return to narnia to aid a young prince whose life ha been threatened by the evil king miraz . now , with the help of a colorful cast of new character , including trufflehunter the badger and nikabrik the dwarf , the pevensie clan embarks on an incredible quest to ensure that narnia is returned to it rightful heir .",2454,"['Ben_Barnes', 'William_Moseley', 'Anna_Popplewell', 'Skandar_Keynes', 'Georgie_Henley']",['Andrew_Adamson'],low revenue,6.3,low voted,low popularity
the avengers,"science fiction,action,adventure",new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,"when an unexpected enemy emerges and threatens global safety and security , nick fury , director of the international peacekeeping agency known a s.h.i.e.l.d. , find himself in need of a team to pull the world back from the brink of disaster . spanning the globe , a daring recruitment effort begin !",24428,"['Robert_Downey_Jr.', 'Chris_Evans', 'Mark_Ruffalo', 'Chris_Hemsworth', 'Scarlett_Johansson']",['Joss_Whedon'],average revenue,7.4,high voted,low popularity
pirates of the caribbean: on stranger tides,"adventure,action,fantasy",sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,"captain jack sparrow cross path with a woman from his past , and he 's not sure if it 's love -- or if she 's a ruthless con artist who 's using him to find the fabled fountain of youth . when she force him aboard the queen anne 's revenge , the ship of the formidable pirate blackbeard , jack find himself on an unexpected adventure in which he doe n't know who to fear more : blackbeard or the woman from his past .",1865,"['Johnny_Depp', 'Penélope_Cruz', 'Ian_McShane', 'Kevin_McNally', 'Geoffrey_Rush']",['Rob_Marshall'],average revenue,6.4,average voted,low popularity
men in black 3,"action,comedy,science fiction",time travel time machine alien fictional government agency seeing the future changing history,"agent j ( will smith ) and k ( tommy lee jones ) are back ... in time . j ha seen some inexplicable thing in his 15 year with the men in black , but nothing , not even alien , perplexes him a much a his wry , reticent partner . but when k 's life and the fate of the planet are put at stake , agent j will have to travel back in time to put thing right . j discovers that there are secret to the universe that k never told him - secret that will reveal themselves a he team up with the young agent k ( josh brolin ) to save his partner , the agency , and the future of humankind .",41154,"['Will_Smith', 'Tommy_Lee_Jones', 'Josh_Brolin', 'Michael_Stuhlbarg', 'Emma_Thompson']",['Barry_Sonnenfeld'],low revenue,6.2,low voted,low popularity
the hobbit: the battle of the five armies,"action,adventure,fantasy",corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,"immediately after the event of the desolation of smaug , bilbo and the dwarf try to defend erebor 's mountain of treasure from others who claim it : the men of the ruined laketown and the elf of mirkwood . meanwhile an army of orcs led by azog the defiler is marching on erebor , fueled by the rise of the dark lord sauron . dwarf , elf and men must unite , and the hope for middle-earth fall into bilbo 's hand .",122917,"['Martin_Freeman', 'Ian_McKellen', 'Richard_Armitage', 'Ken_Stott', 'Graham_McTavish']",['Peter_Jackson'],average revenue,7.1,average voted,low popularity
the amazing spider-man,"action,adventure,fantasy",loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,"peter parker is an outcast high schooler abandoned by his parent a a boy , leaving him to be raised by his uncle ben and aunt may . like most teenager , peter is trying to figure out who he is and how he got to be the person he is today . a peter discovers a mysterious briefcase that belonged to his father , he begin a quest to understand his parent ' disappearance – leading him directly to oscorp and the lab of dr. curt connors , his father 's former partner . a spider-man is set on a collision course with connors ' alter ego , the lizard , peter will make life-altering choice to use his power and shape his destiny to become a hero .",1930,"['Andrew_Garfield', 'Emma_Stone', 'Rhys_Ifans', 'Denis_Leary', 'Campbell_Scott']",['Marc_Webb'],low revenue,6.5,average voted,low popularity
robin hood,"action,adventure",robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,"when soldier robin happens upon the dying robert of loxley , he promise to return the man 's sword to his family in nottingham . there , he assumes robert 's identity ; romance his widow , marion ; and draw the ire of the town 's sheriff and king john 's henchman , godfrey .",20662,"['Russell_Crowe', 'Cate_Blanchett', 'Max_von_Sydow', 'William_Hurt', 'Mark_Strong']",['Ridley_Scott'],low revenue,6.2,low voted,low popularity
the hobbit: the desolation of smaug,"adventure,fantasy",elves dwarves orcs hobbit dragon wizard sword and sorcery,"the dwarf , bilbo and gandalf have successfully escaped the misty mountain , and bilbo ha gained the one ring . they all continue their journey to get their gold back from the dragon , smaug .",57158,"['Martin_Freeman', 'Ian_McKellen', 'Richard_Armitage', 'Ken_Stott', 'Graham_McTavish']",['Peter_Jackson'],average revenue,7.6,low voted,low popularity
the golden compass,"adventure,fantasy",england compass experiment lordship uncle polar bear orphan animal based on young adult novel,"after overhearing a shocking secret , precocious orphan lyra belacqua trade her carefree existence roaming the hall of jordan college for an otherworldly adventure in the far north , unaware that it 's part of her destiny .",2268,"['Dakota_Blue_Richards', 'Nicole_Kidman', 'Daniel_Craig', 'Sam_Elliott', 'Eva_Green']",['Chris_Weitz'],low revenue,5.8,low voted,low popularity
king kong,"adventure,drama,action",film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,"in 1933 new york , an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island , where they encounter kong , a giant ape who is immediately smitten with the leading lady .",254,"['Naomi_Watts', 'Jack_Black', 'Adrien_Brody', 'Thomas_Kretschmann', 'Colin_Hanks']",['Peter_Jackson'],low revenue,6.6,low voted,low popularity
titanic,"drama,romance,thriller",shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,"84 year later , a 101-year-old woman named rose dewitt bukater tell the story to her granddaughter lizzy calvert , brock lovett , lewis bodine , bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 , on a ship called titanic when young rose board the departing ship with the upper-class passenger and her mother , ruth dewitt bukater , and her fiancé , caledon hockley . meanwhile , a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class ticket to the ship in a game . and she explains the whole story from departure until the death of titanic on it first and last voyage april 15th , 1912 at 2:20 in the morning .",597,"['Kate_Winslet', 'Leonardo_DiCaprio', 'Frances_Fisher', 'Billy_Zane', 'Kathy_Bates']",['James_Cameron'],average revenue,7.5,average voted,low popularity
captain america: civil war,"adventure,action,science fiction",civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,"following the event of age of ultron , the collective government of the world pas an act designed to regulate all superhuman activity . this polarizes opinion amongst the avenger , causing two faction to side with iron man or captain america , which cause an epic battle between former ally .",271110,"['Chris_Evans', 'Robert_Downey_Jr.', 'Scarlett_Johansson', 'Sebastian_Stan', 'Anthony_Mackie']","['Anthony_Russo', 'Joe_Russo']",average revenue,7.1,average voted,low popularity
battleship,"thriller,action,adventure",fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,"when mankind beam a radio signal into space , a reply come from ‘ planet g ’ , in the form of several alien craft that splash down in the water off hawaii . lieutenant alex hopper is a weapon officer assigned to the us john paul jones , part of an international naval coalition which becomes the world 's last hope for survival a they engage the hostile alien force of unimaginable strength . while taking on the invader , hopper must also try to live up to the potential his brother , and his fiancée 's father , admiral shane , expect of him .",44833,"['Taylor_Kitsch', 'Alexander_Skarsgård', 'Rihanna', 'Brooklyn_Decker', 'Tadanobu_Asano']",['Peter_Berg'],low revenue,5.5,low voted,low popularity
jurassic world,"action,adventure,science fiction",monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,"twenty-two year after the event of jurassic park , isla nublar now feature a fully functioning dinosaur theme park , jurassic world , a originally envisioned by john hammond .",135397,"['Chris_Pratt', 'Bryce_Dallas_Howard', 'Irrfan_Khan', ""Vincent_D'Onofrio"", 'Nick_Robinson']",['Colin_Trevorrow'],average revenue,6.5,average voted,average popularity
skyfall,"action,adventure,thriller",spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,"when bond 's latest assignment go gravely wrong and agent around the world are exposed , mi6 is attacked forcing m to relocate the agency . these event cause her authority and position to be challenged by gareth mallory , the new chairman of the intelligence and security committee . with mi6 now compromised from both inside and out , m is left with one ally she can trust : bond . 007 take to the shadow - aided only by field agent , eve - following a trail to the mysterious silva , whose lethal and hidden motif have yet to reveal themselves .",37724,"['Daniel_Craig', 'Judi_Dench', 'Javier_Bardem', 'Ralph_Fiennes', 'Naomie_Harris']",['Sam_Mendes'],average revenue,6.9,average voted,low popularity
spider-man 2,"action,adventure,fantasy",dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,"peter parker is going through a major identity crisis . burned out from being spider-man , he decides to shelve his superhero alter ego , which leaf the city suffering in the wake of carnage left by the evil doc ock . in the meantime , parker still ca n't act on his feeling for mary jane watson , a girl he 's loved since childhood .",558,"['Tobey_Maguire', 'Kirsten_Dunst', 'James_Franco', 'Alfred_Molina', 'Rosemary_Harris']",['Sam_Raimi'],low revenue,6.7,low voted,low popularity
iron man 3,"action,adventure,science fiction",terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,"when tony stark 's world is torn apart by a formidable terrorist called the mandarin , he start an odyssey of rebuilding and retribution .",68721,"['Robert_Downey_Jr.', 'Gwyneth_Paltrow', 'Don_Cheadle', 'Guy_Pearce', 'Rebecca_Hall']",['Shane_Black'],average revenue,6.8,average voted,low popularity
alice in wonderland,"family,fantasy,adventure",based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,"alice , an unpretentious and individual 19-year-old , is betrothed to a dunce of an english nobleman . at her engagement party , she escape the crowd to consider whether to go through with the marriage and fall down a hole in the garden after spotting an unusual rabbit . arriving in a strange and surreal place called 'underland , ' she find herself in a world that resembles the nightmare she had a a child , filled with talking animal , villainous queen and knight , and frumious bandersnatches . alice realizes that she is there for a reason – to conquer the horrific jabberwocky and restore the rightful queen to her throne .",12155,"['Mia_Wasikowska', 'Johnny_Depp', 'Anne_Hathaway', 'Helena_Bonham_Carter', 'Crispin_Glover']",['Tim_Burton'],average revenue,6.4,average voted,low popularity
x-men: the last stand,"adventure,action,science fiction",mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,"when a cure is found to treat mutation , line are drawn amongst the x-men and the brotherhood , a band of powerful mutant organized under xavier 's former ally , magneto .",36668,"['Hugh_Jackman', 'Halle_Berry', 'Ian_McKellen', 'Patrick_Stewart', 'Famke_Janssen']",['Brett_Ratner'],low revenue,6.3,low voted,low popularity
monsters university,"animation,family",monster dormitory games animation best friend university scary aftercreditsstinger,a look at the relationship between mike and sulley during their day at monster university — when they were n't necessarily the best of friend .,62211,"['Billy_Crystal', 'John_Goodman', 'Steve_Buscemi', 'Helen_Mirren', 'Noah_Johnston']",['Dan_Scanlon'],low revenue,7.0,low voted,low popularity
transformers: revenge of the fallen,"science fiction,action,adventure",egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,"sam witwicky leaf the autobots behind for a normal life . but when his mind is filled with cryptic symbol , the decepticons target him and he is dragged back into the transformer ' war .",8373,"['Shia_LaBeouf', 'Megan_Fox', 'Josh_Duhamel', 'Rainn_Wilson', 'Tyrese_Gibson']",['Michael_Bay'],low revenue,6.0,low voted,low popularity
transformers: age of extinction,"science fiction,action,adventure",sequel alien transformers giant robot robot imax transforming robot,"a humanity pick up the piece , following the conclusion of `` transformer : dark of the moon , '' autobots and decepticons have all but vanished from the face of the planet . however , a group of powerful , ingenious businessman and scientist attempt to learn from past transformer incursion and push the boundary of technology beyond what they can control - all while an ancient , powerful transformer menace set earth in his cross-hairs .",91314,"['Mark_Wahlberg', 'Stanley_Tucci', 'Kelsey_Grammer', 'Nicola_Peltz', 'Jack_Reynor']",['Michael_Bay'],average revenue,5.8,low voted,low popularity
oz: the great and powerful,"fantasy,adventure,family",circus witch magic hope illusion lost magic trick wizard 3d,"oscar diggs , a small-time circus illusionist and con-artist , is whisked from kansa to the land of oz where the inhabitant assume he 's the great wizard of prophecy , there to save oz from the clutch of evil .",68728,"['James_Franco', 'Mila_Kunis', 'Rachel_Weisz', 'Michelle_Williams', 'Zach_Braff']",['Sam_Raimi'],low revenue,5.7,low voted,low popularity
the amazing spider-man 2,"action,adventure,fantasy",obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,"for peter parker , life is busy . between taking out the bad guy a spider-man and spending time with the person he love , gwen stacy , high school graduation can not come quickly enough . peter ha not forgotten about the promise he made to gwen ’ s father to protect her by staying away , but that is a promise he can not keep . thing will change for peter when a new villain , electro , emerges , an old friend , harry osborn , return , and peter uncovers new clue about his past .",102382,"['Andrew_Garfield', 'Emma_Stone', 'Jamie_Foxx', 'Dane_DeHaan', 'Campbell_Scott']",['Marc_Webb'],low revenue,6.5,low voted,low popularity
tron: legacy,"adventure,action,science fiction",artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,"sam flynn , the tech-savvy and daring son of kevin flynn , investigates his father 's disappearance and is pulled into the grid . with the help of a mysterious program named quorra , sam quest to stop evil dictator clu from crossing into the real world .",20526,"['Garrett_Hedlund', 'Jeff_Bridges', 'Olivia_Wilde', 'Bruce_Boxleitner', 'Yaya_DaCosta']",['Joseph_Kosinski'],low revenue,6.3,low voted,low popularity
cars 2,"animation,family,adventure",car race sequel comedy anthropomorphism best friend duringcreditsstinger,star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race . but the road to the championship becomes rocky a mater get caught up in an intriguing adventure of his own : international espionage .,49013,"['Owen_Wilson', 'Larry_the_Cable_Guy', 'Michael_Caine', 'Emily_Mortimer', 'John_Turturro']","['John_Lasseter', 'Brad_Lewis']",low revenue,5.8,low voted,low popularity
green lantern,"adventure,action,thriller",dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,"for century , a small but powerful force of warrior called the green lantern corp ha sworn to keep intergalactic order . each green lantern wear a ring that grant him superpower . but when a new enemy called parallax threatens to destroy the balance of power in the universe , their fate and the fate of earth lie in the hand of the first human ever recruited .",44912,"['Ryan_Reynolds', 'Blake_Lively', 'Peter_Sarsgaard', 'Tim_Robbins', 'Mark_Strong']",['Martin_Campbell'],low revenue,5.1,low voted,low popularity
toy story 3,"animation,family,comedy",hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story,"woody , buzz , and the rest of andy 's toy have n't been played with in year . with andy about to go to college , the gang find themselves accidentally left at a nefarious day care center . the toy must band together to escape and return home to andy .",10193,"['Tom_Hanks', 'Tim_Allen', 'Ned_Beatty', 'Joan_Cusack', 'Michael_Keaton']",['Lee_Unkrich'],average revenue,7.6,average voted,low popularity
terminator salvation,"action,science fiction,thriller",saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles,"all grown up in post-apocalyptic 2018 , john connor must lead the resistance of human against the increasingly dominating militaristic robot . but when marcus wright appears , his existence confuses the mission a connor try to determine whether wright ha come from the future or the past -- and whether he 's friend or foe .",534,"['Christian_Bale', 'Sam_Worthington', 'Anton_Yelchin', 'Moon_Bloodgood', 'Bryce_Dallas_Howard']",['McG'],low revenue,5.9,low voted,low popularity
furious 7,action,car race speed revenge suspense car race muscle car,deckard shaw seek revenge against dominic toretto and his family for his comatose brother .,168259,"['Vin_Diesel', 'Paul_Walker', 'Dwayne_Johnson', 'Michelle_Rodriguez', 'Tyrese_Gibson']",['James_Wan'],average revenue,7.3,low voted,low popularity
world war z,"action,drama,horror",dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse,"life for former united nation investigator gerry lane and his family seems content . suddenly , the world is plagued by a mysterious infection turning whole human population into rampaging mindless zombie . after barely escaping the chaos , lane is persuaded to go on a mission to investigate this disease . what follows is a perilous trek around the world where lane must brave horrific danger and long odds to find answer before human civilization fall .",72190,"['Brad_Pitt', 'Mireille_Enos', 'Abigail_Hargrove', 'Sterling_Jerins', 'James_Badge_Dale']",['Marc_Forster'],low revenue,6.7,average voted,low popularity
x-men: days of future past,"action,adventure,fantasy",1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future,the ultimate x-men ensemble fight a war for the survival of the specie across two time period a they join force with their younger self in an epic battle that must change the past – to save our future .,127585,"['Hugh_Jackman', 'James_McAvoy', 'Michael_Fassbender', 'Jennifer_Lawrence', 'Halle_Berry']",['Bryan_Singer'],low revenue,7.5,average voted,low popularity
star trek into darkness,"action,adventure,science fiction",spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d,"when the crew of the enterprise is called back home , they find an unstoppable force of terror from within their own organization ha detonated the fleet and everything it stand for , leaving our world in a state of crisis . with a personal score to settle , captain kirk lead a manhunt to a war-zone world to capture a one man weapon of mass destruction . a our hero are propelled into an epic chess game of life and death , love will be challenged , friendship will be torn apart , and sacrifice must be made for the only family kirk ha left : his crew .",54138,"['Chris_Pine', 'Zachary_Quinto', 'Zoe_Saldana', 'Karl_Urban', 'Simon_Pegg']",['J.J._Abrams'],low revenue,7.4,low voted,low popularity
jack the giant slayer,"action,family,fantasy",based on fairy tale giant,"the story of an ancient war that is reignited when a young farmhand unwittingly open a gateway between our world and a fearsome race of giant . unleashed on the earth for the first time in century , the giant strive to reclaim the land they once lost , forcing the young man , jack into the battle of his life to stop them . fighting for a kingdom , it people , and the love of a brave princess , he come face to face with the unstoppable warrior he thought only existed in legend–and get the chance to become a legend himself .",81005,"['Nicholas_Hoult', 'Eleanor_Tomlinson', 'Ewan_McGregor', 'Stanley_Tucci', 'Ian_McShane']",['Bryan_Singer'],low revenue,5.5,low voted,low popularity
the great gatsby,"drama,romance",based on novel infidelity obsession hope 3d,"an adaptation of f. scott fitzgerald 's long island-set novel , where midwesterner nick carraway is lured into the lavish world of his neighbor , jay gatsby . soon enough , however , carraway will see through the crack of gatsby 's nouveau riche existence , where obsession , madness , and tragedy await .",64682,"['Leonardo_DiCaprio', 'Tobey_Maguire', 'Carey_Mulligan', 'Joel_Edgerton', 'Elizabeth_Debicki']",['Baz_Luhrmann'],low revenue,7.3,low voted,low popularity
prince of persia: the sands of time,"adventure,fantasy,action",persia sandstorm brother against brother armageddon regent based on video game,"a rogue prince reluctantly join force with a mysterious princess and together , they race against dark force to safeguard an ancient dagger capable of releasing the sand of time – gift from the god that can reverse time and allow it possessor to rule the world .",9543,"['Jake_Gyllenhaal', 'Gemma_Arterton', 'Ben_Kingsley', 'Alfred_Molina', 'Steve_Toussaint']",['Mike_Newell'],low revenue,6.2,low voted,low popularity
pacific rim,"action,science fiction,adventure",dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,"when legion of monstrous creature , known a kaiju , started rising from the sea , a war began that would take million of life and consume humanity 's resource for year on end . to combat the giant kaiju , a special type of weapon wa devised : massive robot , called jaeger , which are controlled simultaneously by two pilot whose mind are locked in a neural bridge . but even the jaeger are proving nearly defenseless in the face of the relentless kaiju . on the verge of defeat , the force defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot ( charlie hunnam ) and an untested trainee ( rinko kikuchi ) —who are teamed to drive a legendary but seemingly obsolete jaeger from the past . together , they stand a mankind 's last hope against the mounting apocalypse .",68726,"['Idris_Elba', 'Charlie_Hunnam', 'Charlie_Day', 'Ron_Perlman', 'Burn_Gorman']",['Guillermo_del_Toro'],low revenue,6.7,average voted,low popularity
